# Chunk-averaged data for fix allrho1 and group c_keatom
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass c_keatom
10000 5 4352.08
  5 89.9969 1422.87 5.24566 2.21319
  6 97.9969 1427.06 5.257 2.17844
  7 105.997 1420.98 5.23127 2.13397
  8 113.997 1416.04 5.21676 2.01574
  9 121.997 1388.05 5.11273 1.87209
  10 129.997 1337.8 4.92937 1.66594
  11 137.997 1229.75 4.53073 1.16884
  12 145.997 1159.84 4.27216 0.876713
  13 153.997 1165.28 4.29307 0.851574
  14 161.997 1163.18 4.28659 0.804534
  15 169.997 1140.79 4.20136 0.766416
  16 177.997 1155.24 4.25237 0.736314
  17 185.997 1148.76 4.23567 0.725055
  18 193.997 1114.03 4.09967 0.763203
  19 201.997 1174.4 4.33235 0.702947
  20 209.997 1044.79 3.84866 0.669771
  21 217.997 1154.39 4.25226 0.793498
  22 225.997 1144.39 4.21562 0.269525
  23 233.997 979.993 3.60975 0.662015
  24 241.997 1068.01 3.93518 0.86625
  25 249.997 1024 3.77246 0.14579
  26 257.997 1024 3.77246 0.0267603
  27 265.997 896.026 3.301 0.0155507
300000 28 33920
  1 59.9969 1410.55 5.20195 2.44131
  2 67.9969 1425.08 5.2466 2.36871
  3 75.9969 1428.62 5.26149 2.36773
  4 83.9969 1435.49 5.28866 2.32123
  5 91.9969 1424 5.24937 2.18504
  6 99.9969 1421.61 5.23603 2.2191
  7 107.997 1430.18 5.26621 2.16723
  8 115.997 1422.71 5.24264 2.06163
  9 123.997 1404.68 5.17514 1.93173
  10 131.997 1356.12 4.99521 1.75344
  11 139.997 1268.22 4.67237 1.37588
  12 147.997 1195.69 4.4038 0.949198
  13 155.997 1142.89 4.20961 0.848876
  14 163.997 1178.08 4.34117 0.843115
  15 171.997 1149.13 4.23311 0.807894
  16 179.997 1154.96 4.25529 0.763271
  17 187.997 1126.06 4.14893 0.741255
  18 195.997 1168.71 4.30527 0.754708
  19 203.997 1075.31 3.96274 0.747825
  20 211.997 1151.2 4.23854 0.679958
  21 219.997 1110.71 4.09307 0.68742
  22 227.997 1138.71 4.20359 0.62996
  23 235.997 916.708 3.36767 0.270966
  24 243.997 1216.22 4.48457 0.670416
  25 251.997 1080.36 3.97714 0.786688
  26 259.997 1024 3.77246 0.0297221
  27 267.997 1024 3.77246 0.0274501
  28 275.997 640.026 2.35788 0.0107702
310000 29 35072.1
  1 61.9973 1407.21 5.18886 2.43775
  2 69.9973 1425.78 5.24777 2.37638
  3 77.9973 1424.21 5.2475 2.39296
  4 85.9973 1442.8 5.3165 2.31718
  5 93.9973 1425.46 5.25308 2.2556
  6 101.997 1421.11 5.23569 2.23424
  7 109.997 1437.92 5.29534 2.15698
  8 117.997 1424.28 5.24681 2.13663
  9 125.997 1415.04 5.21505 1.99889
  10 133.997 1374.81 5.06236 1.86288
  11 141.997 1315.72 4.84704 1.52738
  12 149.997 1185.38 4.36576 1.06143
  13 157.997 1197.51 4.41289 0.87599
  14 165.997 1128.45 4.15733 0.822864
  15 173.997 1194.77 4.40121 0.853341
  16 181.997 1121.87 4.13436 0.805761
